,,,,,Average,,
0.012114,0.006626,0.348922365,0.676747984,0.210969214,0.261103,0.117140,
0.005517,0.006751,0.840532357,1.243322671,0.774498692,0.524031,,
0.007102,0.008426,0.734200,0.904247966,0.294964102,0.413494,,
0.006846,0.009497,0.160982323,0.291235332,0.16805421,0.117140,,
0.033038,0.074167,10.85365244,3.618403574,3.556451056,3.644815,1.243221,
0.033785,0.301836467,3.995704878,3.188490131,4.093001,1.879954,,
0.02775083,0.261211679,2.199245865,2.484677419,2.264171935,1.243221,,
0.027805343,0.264923243,3.211099547,2.742203354,3.61526641,1.561508,,
0.171707839,0.287959247,4.634579353,5.749075,4.29798862,2.710830,0.711605,
0.002956,0.039269076,2.971776266,4.098993,2.91147526,1.778249,,
0.006741,0.020416988,3.651763937,6.078255364,4.182559655,2.439294,,
0.001711,0.017219385,1.101991093,1.72549922,1.27445143,0.711605,,
0.035622,0.096190,1.232031488,1.601832167,1.091951,0.741419,0.289505,
0.007674,0.010150725,0.688657152,1.089870709,0.656715135,0.449088,,
0.006283,0.010427526,0.963248358,0.597923,1.26517264,0.394471,,
0.007120,0.007889,0.526813296,0.616196956,0.848881766,0.289505,,
,,,,,,,
SECOND,,,,,,,
0.016904086,0.015823766,2.100767807,0.774048981,2.43179706,0.72688616,0.386345375,
0.005599023,0.017251364,1.902560973,0.24298069,2.248207286,0.542098013,,
0.006293723,0.020759409,1.097736178,0.420592191,1.275766115,0.386345375,,
0.005847804,0.025719692,2.038894804,0.726554703,2.482394391,0.699254251,,
0.223406043,0.119425511,5.719949315,6.090946651,6.093504227,3.03843188,1.5920651,
0.129751516,0.497972261,5.224829803,5.487408365,5.024852111,2.834990486,,
0.106828082,0.552751724,7.456412371,10.87933524,7.582194813,4.748831855,,
0.106778873,0.601041769,3.32686819,2.333571566,3.591320475,1.5920651,,
0.034340291,0.00379473,0.485217501,0.479289686,0.544230238,0.250660552,0.228188958,
0.020646925,0.006690778,0.355706135,0.83478394,0.590272184,0.304456944,,
0.017244309,0.005972587,1.108454052,1.725937053,1.167222805,0.714402,,
0.016612863,0.009794932,0.438570944,0.447777092,0.571827259,0.228188958,,
0.010651507,0.273842714,6.748819874,8.336004145,7.649763982,3.84232956,1.498526183,
0.139650304,0.032760067,4.93395503,8.347548514,5.21784002,3.363478479,,
0.095059598,0.063817083,5.338924369,8.750328058,5.87177204,3.562032277,,
0.099990069,0.110230442,3.139600848,2.644283371,3.509674943,1.498526183,,
,,,,,,,
THIRD,,,,,,,
0.032348668,0.03153153,2.600250316,1.8475204,3.286726141,1.127912729,0.417019713,
0.000317448,0.010346916,2.069586906,1.369963637,3.080757301,0.862553727,,
0.001287718,0.001161857,0.568916055,1.096713223,0.582652675,0.417019713,,
0.00026073,0.005870384,1.452072593,0.740250044,2.532262534,0.549613438,,
0.142695608,0.126577267,3.244480344,3.720942659,3.069011161,1.80867397,1.294655394,
0.055266437,0.496733277,2.307879597,3.327717705,2.540472284,1.546899254,,
0.047471668,0.476213049,4.938823301,6.396679962,4.922411589,2.964796995,,
0.043633944,0.459295016,2.522912239,2.152780376,2.220325983,1.294655394,,
0.053501815,0.098062762,1.212953919,1.431137879,1.44881835,0.698914094,0.096784975,
0.000855709,0.009773082,0.669365944,0.829201182,0.901567894,0.377298979,,
0.001684734,0.006117054,1.219904505,2.266108757,1.407478485,0.873453763,,
0.00145862,0.005949129,0.169609954,0.210122197,0.394858915,0.096784975,,
0.118926778,0.060816721,2.447924021,3.168205278,2.870605353,1.448968199,1.066833284,
0.039569396,0.007933592,1.867087742,3.484505544,2.285073015,1.349774069,,
0.031911711,0.012727711,3.290769975,6.430829743,3.630194462,2.441559785,,
0.028244028,0.031741836,1.968473342,2.238873931,1.753820876,1.066833284,,
,,,,,,,
FOURTH,,,,,,,
0.009505152,0.002325239,0.861428929,0.512059735,0.728066383,0.346329764,0.19725704,
0.003349691,0.000537693,0.610857533,0.17428324,0.808844932,0.19725704,,
0.004098852,0.01166931,2.013310787,2.238071436,1.753918251,1.066787596,,
0.003265619,0.008634231,1.119659208,0.36831144,1.127238252,0.374967624,,
0.016779049,0.038562381,1.426411609,1.704479071,1.276456731,0.796558028,0.796558028,
0.025678129,0.511365874,1.907405692,2.750611288,1.712133539,1.298765246,,
0.023712013,0.500191621,1.910816836,2.304582717,1.670202556,1.184825797,,
0.024027258,0.498222375,1.820581692,2.133839014,1.496444181,1.119167585,,
0.009437909,0.044805956,1.302700994,1.049355974,1.477947575,0.601575208,0.433960628,
